,precision,recall,f1-score,support
Canola,0.9473684210526315,0.9642857142857143,0.9557522123893806,56.0
Palm olein,0.9636363636363636,0.9636363636363636,0.9636363636363636,55.0
Soybean,1.0,0.9821428571428571,0.990990990990991,56.0
accuracy,0.9700598802395209,0.9700598802395209,0.9700598802395209,0.9700598802395209
macro avg,0.970334928229665,0.970021645021645,0.9701265223389117,167.0
weighted avg,0.9703750393948944,0.9700598802395209,0.9701653855646756,167.0
