,precision,recall,f1-score,support
0,0.8888888888888888,0.9230769230769231,0.9056603773584906,52.0
1,0.9107142857142857,0.864406779661017,0.8869565217391304,59.0
2,0.8947368421052632,0.9107142857142857,0.9026548672566371,56.0
accuracy,0.8982035928143712,0.8982035928143712,0.8982035928143712,0.8982035928143712
macro avg,0.8981133389028125,0.8993993294840753,0.8984239221180861,167.0
weighted avg,0.8985606481273042,0.8982035928143712,0.8980445926444426,167.0
